Branch Name,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
St. James Town,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
St. Lawrence,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Steeles,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,Closed
Swansea Memorial,Closed,10-12 & 1-6,01-Aug,10-12 & 1-6,Closed,10-May,Closed
Taylor Memorial,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Thorncliffe,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,Closed
Todmorden Room,Closed,1230-5 & 6-830,9-12 & 1-5,1230-5 & 6-830,Closed,9-12 & 1-5,Closed
Victoria Village,Closed,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Weston,10:00 - 8:30,12:30 - 8:30,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Woodside Square,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Woodview Park,Closed,10:00 - 6:00,10:00 - 6:00,12:30 - 8:30,10:00 - 6:00,9:00 - 5:00,Closed
Wychwood,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
York Woods,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
Yorkville,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,9:00 - 5:00,Closed
Toronto Reference Library,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
North York Central,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 8:30,9:00 - 5:00,1:30 - 5:00
